"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U4";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
2;"Caps Lock";"0603";1;"LED";;;
3;"R6,R14,R5";"R_1206_3216Metric";3;"1K";;;
4;"R4,R3";"R_0805_2012Metric";2;"27";;;
5;"C9,C7,C12,C17,C6,C11,C3,C4,C2,C5,C8";"C_1206_3216Metric";11;"0.1uF";;;
6;"S47,F9,Command1,S51,S55,YKey11,PgUp1,S65,P1,S69,9(1,5%1,1!1,S56,Q1,0)1,F12,-_1,Backspace2,RKey1,S53,Command2,T1,S71,4$1,S68,S52,S54,F10,S63,Option1,]}1,S67,F8,S61,S50,Left1,S66,`~1,S62,S49,Backspace1,E1,F3,F11,Del1,I1,Control1,7&1,F2,Option2,8*1,Down1,2@1,F6,S48,F1,[{1,S70,UP1,Fn1,F5,Esc1,W1,O1,3#1,S64,6^1,Right1,Del2,PgDown1,F4,S46,F7,=+1,UKey1,S57";"Hotswap_MX_1.00u";77;"Keyswitch";;;
7;"S58,S59,S60";"Hotswap_MX_1.25u";3;"Keyswitch";;;
8;"GL850G1";"28SSOP";1;"GL850G";;;
9;"R1";"R_0805_2012Metric";1;"680";;;
10;"Y2,Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";2;"12MHz";;;
11;"C21,C16,C20,C15";"C_0805_2012Metric";4;"33pF";;;
12;"R11";"R_0402_1005Metric";1;"88.7K";;;
13;"C26,C27,C24,C23,C25,C22";"C_1206_3216Metric";6;"100nF";;;
14;"C1,C10";"C_1206_3216Metric";2;"1uF";;;
15;"J6";"OLED_128x32";1;"OLED_128x32";;;
16;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
17;"U3";"SOIC-8_5.3x5.3mm_P1.27mm";1;"W25Q128JVS";;;
18;"Space1,Tab1,Space3,Space2,Space4,S72,\|1";"Hotswap_MX_1.50u";7;"Keyswitch";;;
19;"R9,R13,R8";"R_0805_2012Metric";3;"5.1K";;;
20;"R17,R16";"R_1206_3216Metric";2;"10k";;;
21;"R7,R12,R15";"R_1206_3216Metric";3;"10K";;;
22;"S45";"Hotswap_MX_1.75u";1;"Keyswitch";;;
23;"C14,C13";"C_1206_3216Metric";2;"10uF";;;
24;"J3,J4";"GCT_USB1046-GF-0190-L-B-A_REVB4";2;"USB_A";;;
25;"J1,J5";"NEUTRIK_NC3FAAH";2;"XLR3";;;
26;"J2";"USB_C_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_16P";;;
27;"D62,F3D1,F11D1,F9D1,D72,D71,D56,D40,D33,9(D1,F6D1,5%D1,D61,D43,D89,DelD1,D79,D37,D70,D42,D81,D77,D39,D78,D73,F10D1,D38,D55,D57,D69,D49,-_D1,D63,D74,DelD2,EscD1,D41,D86,F2D1,F1D1,D80,D45,`~D1,F7D1,D52,8*D1,D66,D65,D82,F8D1,D34,7&D1,4$D1,D54,D68,0)D1,D50,D58,D32,D88,D36,1!D1,D51,BackspaceD1,D35,D46,D67,F5D1,D44,D48,BackspaceD2,D75,D76,D59,F4D1,D47,D87,D31,2@D1,=+D1,D64,F12D1,D53,D85,6^D1,D84,3#D1,D60";"D_SMA";88;"Diode";;;
