Designator,Mid X,Mid Y,Rotation,Layer
A1,37.19,-104.16,180.0,top
D1,68.9925,-47.6875,90.0,bottom
D10,88.0425,-123.8875,90.0,bottom
D11,107.0925,-47.6875,90.0,bottom
D12,107.0925,-66.7375,90.0,bottom
D13,110.0925,-75.7875,0.0,bottom
D14,107.0925,-104.8375,90.0,bottom
D15,107.0925,-123.8875,90.0,bottom
D16,126.1425,-47.6875,90.0,bottom
D17,126.1425,-66.7375,90.0,bottom
D18,123.1425,-76.7625,0.0,bottom
D19,123.1425,-104.8375,0.0,bottom
D2,68.9925,-66.7375,90.0,bottom
D20,145.1925,-47.6875,90.0,bottom
D21,145.1925,-66.7375,90.0,bottom
D22,145.1925,-85.7875,90.0,bottom
D23,145.1925,-104.8375,90.0,bottom
D24,145.1925,-123.8875,90.0,bottom
D25,29.55,-74.2675,90.0,bottom
D3,68.9925,-85.7875,90.0,bottom
D4,68.9925,-104.8375,90.0,bottom
D5,68.9925,-123.8875,90.0,bottom
D6,88.0425,-47.6875,90.0,bottom
D7,88.0425,-66.7375,90.0,bottom
D8,88.0425,-85.7875,90.0,bottom
D9,88.0425,-104.8375,90.0,bottom
J10,35.885,-60.84,270.0,top
J9,35.885,-32.59,270.0,top
S1,59.519999999999996,-40.48,0.0,bottom
S10,78.57,-116.69000000000001,0.0,bottom
S11,97.61999999999999,-40.449999999999996,0.0,bottom
S12,97.61999999999999,-59.53,0.0,bottom
S13,97.61999999999999,-78.58000000000001,0.0,bottom
S14,97.61999999999999,-97.63000000000001,0.0,bottom
S15,97.61999999999999,-116.69000000000001,0.0,bottom
S16,116.67,-40.449999999999996,0.0,bottom
S17,116.67,-59.53,0.0,bottom
S18,116.67,-83.342,0.0,bottom
S19,117.12,-115.517,0.0,top
S2,59.519999999999996,-59.53,0.0,bottom
S20,135.72,-40.48,0.0,bottom
S21,135.72,-59.54,0.0,bottom
S22,135.72,-78.55000000000001,0.0,bottom
S23,135.72,-97.63000000000001,0.0,bottom
S24,135.72,-116.68,0.0,bottom
S3,59.519999999999996,-78.58000000000001,0.0,bottom
S4,59.519999999999996,-97.64,0.0,bottom
S5,59.519999999999996,-116.69000000000001,0.0,bottom
S6,78.57,-40.449999999999996,0.0,bottom
S7,78.57,-59.53,0.0,bottom
S8,78.57,-78.58000000000001,0.0,bottom
S9,78.57,-97.63000000000001,0.0,bottom
