Ref,Val,Package,PosX,PosY,Rot,Side
"-_D1","Diode","D_SMA",-245.900000,-94.250000,90.000000,bottom
"0)D1","Diode","D_SMA",-226.850000,-94.250000,90.000000,bottom
"1!D1","Diode","D_SMA",-55.400000,-94.050000,90.000000,bottom
"2@D1","Diode","D_SMA",-74.450000,-94.050000,90.000000,bottom
"3#D1","Diode","D_SMA",-93.500000,-94.250000,90.000000,bottom
"4$D1","Diode","D_SMA",-112.550000,-94.250000,90.000000,bottom
"5%D1","Diode","D_SMA",-131.600000,-94.250000,90.000000,bottom
"6^D1","Diode","D_SMA",-150.650000,-94.250000,90.000000,bottom
"7&D1","Diode","D_SMA",-169.700000,-94.250000,90.000000,bottom
"8*D1","Diode","D_SMA",-188.750000,-94.250000,90.000000,bottom
"9(D1","Diode","D_SMA",-207.800000,-94.250000,90.000000,bottom
"=+D1","Diode","D_SMA",-264.950000,-94.250000,90.000000,bottom
"BackspaceD1","Diode","D_SMA",-284.000000,-94.250000,90.000000,bottom
"BackspaceD2","Diode","D_SMA",-303.050000,-94.250000,90.000000,bottom
"C1","1uF","C_1206_3216Metric",-182.370000,-50.365000,-90.000000,bottom
"C2","0.1uF","C_1206_3216Metric",-185.720000,-50.365000,-90.000000,bottom
"C3","0.1uF","C_1206_3216Metric",-189.070000,-50.365000,-90.000000,bottom
"C4","0.1uF","C_1206_3216Metric",-192.420000,-50.365000,-90.000000,bottom
"C5","0.1uF","C_1206_3216Metric",-195.770000,-50.365000,-90.000000,bottom
"C6","0.1uF","C_1206_3216Metric",-199.120000,-50.365000,-90.000000,bottom
"C7","0.1uF","C_1206_3216Metric",-202.470000,-50.365000,-90.000000,bottom
"C8","0.1uF","C_1206_3216Metric",-189.070000,-44.715000,90.000000,bottom
"C9","0.1uF","C_1206_3216Metric",-185.720000,-44.715000,90.000000,bottom
"C10","1uF","C_1206_3216Metric",-166.680000,-46.895000,90.000000,bottom
"C11","0.1uF","C_1206_3216Metric",-163.330000,-46.895000,90.000000,bottom
"C12","0.1uF","C_1206_3216Metric",-159.980000,-46.895000,90.000000,bottom
"C13","10uF","C_1206_3216Metric",-111.355476,-23.705476,0.000000,bottom
"C14","10uF","C_1206_3216Metric",-202.470000,-44.715000,90.000000,bottom
"C15","33pF","C_0805_2012Metric",-126.930000,-51.100000,0.000000,bottom
"C16","33pF","C_0805_2012Metric",-122.560000,-45.990000,0.000000,bottom
"C17","0.1uF","C_1206_3216Metric",-182.370000,-44.715000,90.000000,bottom
"C20","33pF","C_0805_2012Metric",-163.060000,-38.830000,180.000000,bottom
"C21","33pF","C_0805_2012Metric",-167.785000,-39.100000,180.000000,bottom
"C22","100nF","C_1206_3216Metric",-152.915000,-22.040000,0.000000,bottom
"C23","100nF","C_1206_3216Metric",-111.355000,-17.005476,180.000000,bottom
"C24","100nF","C_1206_3216Metric",-111.355000,-20.355476,180.000000,bottom
"C25","100nF","C_1206_3216Metric",-195.770000,-44.715000,-90.000000,bottom
"C26","100nF","C_1206_3216Metric",-199.120000,-44.715000,-90.000000,bottom
"C27","100nF","C_1206_3216Metric",-192.420000,-44.715000,-90.000000,bottom
"D31","Diode","D_SMA",-43.460000,-113.100000,90.000000,bottom
"D32","Diode","D_SMA",-65.450000,-113.100000,90.000000,bottom
"D33","Diode","D_SMA",-84.500000,-113.100000,90.000000,bottom
"D34","Diode","D_SMA",-103.550000,-113.100000,90.000000,bottom
