Ref,Val,Package,PosX,PosY,Rot,Side
"-_D1","Diode","D_SMA",-245.900000,-94.250000,90.000000,bottom
"0)D1","Diode","D_SMA",-226.850000,-94.250000,90.000000,bottom
"1!D1","Diode","D_SMA",-55.400000,-94.050000,90.000000,bottom
"2@D1","Diode","D_SMA",-74.450000,-94.050000,90.000000,bottom
"3#D1","Diode","D_SMA",-93.500000,-94.250000,90.000000,bottom
"4$D1","Diode","D_SMA",-112.550000,-94.250000,90.000000,bottom
"5%D1","Diode","D_SMA",-131.600000,-94.250000,90.000000,bottom
"6^D1","Diode","D_SMA",-150.650000,-94.250000,90.000000,bottom
"7&D1","Diode","D_SMA",-169.700000,-94.250000,90.000000,bottom
"8*D1","Diode","D_SMA",-188.750000,-94.250000,90.000000,bottom
"9(D1","Diode","D_SMA",-207.800000,-94.250000,90.000000,bottom
"=+D1","Diode","D_SMA",-264.950000,-94.250000,90.000000,bottom
"BackspaceD1","Diode","D_SMA",-284.000000,-94.250000,90.000000,bottom
"BackspaceD2","Diode","D_SMA",-303.050000,-94.250000,90.000000,bottom
"C22","100nF","C_1206_3216Metric",-171.595000,-32.800000,180.000000,bottom
"D31","Diode","D_SMA",-43.460000,-113.100000,90.000000,bottom
"D32","Diode","D_SMA",-65.450000,-113.100000,90.000000,bottom
"D33","Diode","D_SMA",-84.500000,-113.100000,90.000000,bottom
"D34","Diode","D_SMA",-103.550000,-113.100000,90.000000,bottom
"D35","Diode","D_SMA",-122.600000,-113.100000,90.000000,bottom
"D36","Diode","D_SMA",-141.650000,-113.100000,90.000000,bottom
"D37","Diode","D_SMA",-160.700000,-113.100000,90.000000,bottom
"D38","Diode","D_SMA",-179.750000,-113.100000,90.000000,bottom
"D39","Diode","D_SMA",-198.800000,-113.100000,90.000000,bottom
"D40","Diode","D_SMA",-217.850000,-113.100000,90.000000,bottom
"D41","Diode","D_SMA",-236.900000,-113.100000,90.000000,bottom
"D42","Diode","D_SMA",-255.950000,-113.100000,90.000000,bottom
"D43","Diode","D_SMA",-274.100000,-113.100000,90.000000,bottom
"D44","Diode","D_SMA",-299.150000,-113.100000,90.000000,bottom
"D45","Diode","D_SMA",-46.780000,-132.150000,90.000000,bottom
"D46","Diode","D_SMA",-69.480000,-132.150000,90.000000,bottom
"D47","Diode","D_SMA",-88.530000,-132.150000,90.000000,bottom
"D48","Diode","D_SMA",-107.580000,-132.150000,90.000000,bottom
"D49","Diode","D_SMA",-126.630000,-132.150000,90.000000,bottom
"D50","Diode","D_SMA",-145.680000,-132.150000,90.000000,bottom
"D51","Diode","D_SMA",-164.730000,-132.150000,90.000000,bottom
"D52","Diode","D_SMA",-183.780000,-132.150000,90.000000,bottom
"D53","Diode","D_SMA",-202.830000,-132.195000,90.000000,bottom
"D54","Diode","D_SMA",-221.880000,-132.195000,90.000000,bottom
"D55","Diode","D_SMA",-240.930000,-132.195000,90.000000,bottom
"D56","Diode","D_SMA",-259.980000,-132.195000,90.000000,bottom
"D57","Diode","D_SMA",-279.030000,-132.195000,90.000000,bottom
"D58","Diode","D_SMA",-302.080000,-132.195000,90.000000,bottom
"D59","Diode","D_SMA",-41.120000,-151.200000,90.000000,bottom
"D60","Diode","D_SMA",-63.140000,-151.200000,90.000000,bottom
"D61","Diode","D_SMA",-84.040000,-151.200000,90.000000,bottom
"D62","Diode","D_SMA",-103.090000,-151.245000,90.000000,bottom
